word,count
harry,196
potter,131
is,77
series,67
of,335
seven,9
fantasy,13
novels,14
written,7
by,73
british,11
author,5
rowling,58
the,731
chronicle,1
lives,5
young,5
wizard,8
and,366
his,32
friends,4
hermione,15
granger,4
ron,10
weasley,4
all,18
whom,2
are,48
students,3
at,28
hogwarts,27
school,20
witchcraft,6
wizardry,4
main,6
story,8
arc,3
concerns,1
struggle,2
against,8
lord,8
voldemort,31
dark,10
who,25
intends,1
to,171
become,2
immortal,1
overthrow,1
governing,1
body,2
known,2
as,72
ministry,7
magic,10
subjugate,1
wizards,10
muggles,6
nonmagical,3
people,6
was,61
originally,2
published,12
in,255
english,9
bloomsbury,6
united,10
kingdom,4
scholastic,4
press,2
states,7
versions,2
around,6
world,17
printed,1
grafica,1
veneta,1
italy,1
many,12
genres,2
including,10
drama,1
coming,3
age,7
which,32
includes,7
elements,7
mystery,7
thriller,2
adventure,7
horror,2
romance,3
explores,1
numerous,3
themes,10
cultural,7
meanings,1
references,1
according,5
theme,9
death,24
other,17
major,1
include,5
prejudice,3
corruption,1
madness,1
since,5
release,13
first,28
novel,16
philosopher,19
stone,23
on,69
june,9
books,75
have,40
found,4
immense,1
popularity,7
positive,2
reviews,2
commercial,2
success,9
worldwide,4
they,20
attracted,3
wide,1
adult,8
audience,3
well,2
younger,4
readers,5
often,7
considered,4
cornerstones,1
modern,1
literature,8
february,1
update,1
sold,11
more,27
than,16
million,19
copies,16
making,8
them,10
bestselling,3
book,50
history,6
been,29
translated,6
into,17
eighty,1
languages,3
last,3
four,8
consecutively,1
set,3
records,1
fastestselling,1
with,80
final,14
instalment,3
selling,3
roughly,1
within,5
twentyfour,2
hours,6
its,19
original,3
were,26
adapted,2
an,38
eightpart,1
namesake,1
film,13
warner,11
bros,10
pictures,1
total,2
value,2
franchise,4
estimated,3
billion,3
one,14
highestgrossing,1
media,3
franchises,1
time,12
cursed,2
child,2
play,4
based,5
cowritten,1
films,9
has,38
allowed,1
expand,1
derivative,4
works,4
travelling,1
exhibition,2
that,80
premiered,1
chicago,2
studio,3
tour,2
london,7
opened,7
digital,2
platform,2
updates,1
new,14
information,3
insight,1
pentalogy,1
spinoff,3
premiering,1
november,11
fantastic,5
beasts,4
where,12
find,6
among,10
developments,1
themed,1
attractions,1
collectively,1
wizarding,7
built,1
several,10
universal,8
parks,2
resorts,1
amusement,1
follows,1
life,7
boy,2
named,5
cupboard,1
under,1
stairs,1
house,4
dursleys,3
aunt,2
uncle,2
cousin,1
consider,1
themselves,4
perfectly,1
normal,1
but,18
eleven,2
discovers,3
he,32
meets,1
halfgiant,1
hagrid,1
invites,1
him,10
attend,1
learns,6
baby,1
parents,6
murdered,1
when,11
attempted,1
kill,1
curse,1
rebounded,1
survived,1
lightningshaped,1
scar,1
forehead,1
becomes,3
student,1
sorted,2
gryffindor,4
gains,2
friendship,2
member,1
large,1
poor,2
family,2
witch,1
or,11
muggle,3
parentage,2
encounters,2
potions,4
master,2
severus,2
snape,11
displays,1
dislike,1
for,69
rich,1
pureblood,1
draco,2
malfoy,3
develops,1
enmity,1
defence,2
arts,8
teacher,2
quirinus,1
quirrell,3
turns,1
out,5
be,22
allied,1
concludes,1
confrontation,1
quest,3
regain,1
yearns,1
gain,1
power,3
substance,1
bestows,1
everlasting,1
chamber,6
secrets,5
describes,2
second,10
year,11
attacked,3
petrified,1
unknown,2
creature,1
primary,1
targets,1
attacks,1
appear,1
related,2
fiftyyearold,1
ability,3
speak,1
snake,1
language,3
parseltongue,2
rare,1
associated,1
uncover,1
enter,1
it,31
sister,1
ginny,2
possessed,1
old,3
diary,3
her,19
belongings,1
memory,1
tom,3
marvolo,1
riddle,2
self,1
resided,1
inside,1
unleashed,1
basilisk,2
ancient,3
monster,1
kills,2
those,2
make,3
direct,4
eye,2
contact,1
draws,1
sword,4
from,39
sorting,4
hat,3
slays,1
destroys,1
third,4
prisoner,7
azkaban,7
targeted,2
sirius,5
black,6
escaped,1
convict,1
allegedly,1
assisted,1
murder,1
struggles,4
reaction,1
dementors,3
–,18
creatures,1
guarding,1
feed,1
despair,1
reaches,1
remus,1
lupin,4
professor,5
teaches,4
patronus,3
charm,1
windy,1
night,1
dragged,1
dog,2
shrieking,1
shack,2
follow,2
revealed,4
enters,1
explains,1
james,3
best,4
friend,1
framed,1
peter,1
pettigrew,1
hides,1
pet,4
rat,1
scabbers,1
full,2
moon,1
rises,1
transforms,1
werewolf,2
bounds,1
away,4
group,7
chase,1
after,15
surrounded,1
saved,1
mysterious,1
figure,1
casts,1
stag,1
this,18
later,10
future,1
version,7
traveled,1
back,1
using,3
turner,1
duo,1
help,2
escape,3
hippogriff,2
fourth,3
detailed,1
goblet,10
fire,10
unwillingly,1
entered,2
triwizard,2
tournament,2
contest,1
between,5
schools,3
participant,1
cedric,3
diggory,1
unusual,1
occurrence,1
causes,1
distance,1
competes,1
beauxbaton,1
durmstrang,1
alastor,1
madeye,1
moody,3
claims,2
cup,2
doing,2
so,5
teleported,1
graveyard,1
supporters,1
convene,1
reveals,1
himself,2
barty,1
crouch,1
jr,1
eater,1
manages,1
killed,4
resurrected,3
blood,5
fifth,4
order,9
phoenix,7
refuses,1
believe,2
returned,1
dumbledore,12
reactivates,1
secret,2
society,4
counter,2
meanwhile,1
appoints,1
dolores,1
umbridge,4
high,3
inquisitor,1
bans,1
defense,2
response,1
form,3
army,1
what,6
forbids,1
punished,1
disobeying,1
dreams,3
corridor,1
near,3
end,5
falsely,1
being,6
tortured,1
races,3
faces,4
eaters,4
saves,1
teenagers,1
prophecy,1
concerning,1
then,4
must,3
die,2
hands,1
sixth,1
halfblood,8
prince,9
while,10
horace,1
slughorn,2
finds,1
textbook,2
annotations,1
due,5
achieves,1
class,3
also,20
takes,1
lessons,2
viewing,2
memories,2
about,14
early,5
device,1
called,6
pensieve,1
drunken,1
used,6
teach,1
divided,1
soul,4
pieces,1
creating,1
horcruxes,1
travel,2
distant,1
lake,1
destroy,2
horcrux,4
succeed,1
weakens,1
their,15
return,2
attacking,1
ends,2
killing,1
titular,1
deathly,17
hallows,17
seventh,3
control,2
learn,1
legendary,1
items,1
lead,1
mastery,1
over,10
infiltrate,1
steal,2
locket,3
visit,1
godric,1
hollow,1
nagini,1
silver,1
doe,1
leads,1
gringotts,2
culminating,1
battle,3
paranoia,1
lends,1
before,9
dies,3
always,1
loyal,2
surrenders,1
defenders,1
continue,1
fight,2
epilogue,2
titled,2
nineteen,2
years,6
surviving,1
characters,15
impact,1
married,2
three,12
children,36
two,11
fall,1
genre,4
qualify,1
type,1
urban,1
contemporary,3
low,1
mainly,2
dramas,1
maintain,1
fairly,1
serious,3
tone,1
throughout,2
though,3
do,1
contain,3
some,9
notable,2
instances,1
tragicomedy,1
humour,1
respects,1
examples,2
bildungsroman,1
words,2
stephen,3
king,4
shrewd,1
tales,5
each,6
constructed,2
manner,1
sherlock,2
holmesstyle,1
stories,8
told,1
person,5
limited,1
point,3
view,5
very,4
few,4
exceptions,1
such,17
opening,2
chapters,2
can,4
part,7
boarding,4
rudyard,1
kipling,1
stalky,1
co,1
enid,2
blyton,2
malory,1
towers,1
st,1
clare,1
naughtiest,1
girl,1
frank,1
richards,1
billy,1
bunter,1
predominantly,1
fictional,1
curriculum,1
use,6
sense,2
line,2
descent,1
thomas,2
hughes,1
brown,1
days,2
victorian,1
edwardian,1
public,4
note,1
grittier,1
darker,1
mature,2
typical,3
addressing,1
love,4
loss,4
comingofage,1
innocence,1
s,3
setting,3
juxtaposes,1
extraordinary,1
ordinary,3
narrative,2
features,2
worlds,2
inhabited,1
another,1
featuring,3
differs,1
portal,1
magical,3
stay,1
grounded,1
mundane,1
paintings,1
move,4
talk,2
bite,1
letters,2
shout,1
messages,1
maps,1
show,2
live,3
journeys,1
both,8
exotic,1
familiar,1
blend,1
realistic,3
romantic,1
extends,1
names,2
onomatopoeic,1
difficult,2
filch,1
unpleasant,1
relatable,1
downtoearth,1
wearing,1
broken,3
glasses,1
scholar,3
roni,1
natov,1
terms,3
everychild,1
these,8
serve,1
highlight,1
heroic,1
everyman,1
fairytale,1
hero,4
course,1
problems,1
dealing,1
involves,1
need,1
violate,1
rules,2
if,3
caught,1
breaking,1
disciplined,1
professors,2
reach,1
climax,1
summer,2
term,1
just,3
exams,1
events,4
escalate,1
far,2
beyond,3
inschool,1
squabbles,1
confront,1
either,1
followers,2
stakes,1
matter,1
underlined,1
progresses,1
aftermath,1
important,1
through,11
exposition,1
discussions,1
head,2
mentor,1
albus,2
only,7
exception,1
schoolcentred,1
spend,1
most,8
there,4
face,2
dénouement,1
feature,1
imagery,3
motifs,3
drawn,3
arthurian,5
myth,1
fairytales,1
draw,1
resembles,2
legend,2
compared,2
cinderella,1
medieval,4
universitycumcastle,1
belong,1
merlin,1
binns,1
still,2
lectures,1
international,2
warlock,1
convention,1
real,2
historical,1
thcentury,2
scribe,1
sir,1
nicolas,1
flamel,1
described,7
holder,1
coatsofarms,1
weapons,1
walls,1
parchment,1
sealed,1
wax,1
great,5
hall,2
similar,2
camelot,1
latin,3
phrases,1
tents,2
put,2
up,5
quidditch,5
tournaments,2
marvellous,1
knightly,1
imaginary,1
animals,3
like,5
dragons,1
unicorns,1
exist,1
banners,1
heraldic,1
houses,1
invoking,1
objects,2
confer,1
invisibility,1
trees,1
forest,1
danger,1
recognition,1
character,6
upon,3
scars,1
french,5
romances,2
aspects,2
borrowed,1
owls,7
messengers,1
werewolves,1
white,2
deer,1
american,12
scholars,5
heather,1
arden,2
kathrn,1
lorenz,2
particular,4
argue,1
inspired,3
claris,2
et,1
laris,1
writing,5
startling,1
similarities,1
adventures,1
knight,1
noted,2
graduated,1
university,1
exeter,1
degree,1
spent,1
living,3
france,2
afterwards,1
lewis,2
chronicles,1
narnia,1
contains,1
christian,7
symbolism,1
allegory,1
viewed,2
moral,5
fable,1
psychomachia,1
tradition,1
standins,1
good,6
evil,5
supremacy,1
critic,7
joy,2
farmer,1
sees,1
parallels,3
jesus,1
christ,1
comparing,2
she,17
argues,1
authors,4
way,2
talking,1
spiritual,1
reality,4
maria,1
nikolajeva,1
particularly,2
strong,2
scenes,3
selfsacrifice,1
delivers,1
ecce,1
homo,1
speech,1
defeats,1
enemy,1
stated,5
did,3
not,20
reveal,1
religious,3
beginning,6
because,8
would,6
give,1
too,1
much,4
fans,7
might,1
see,2
makes,2
explicit,1
quoting,1
matthew,1
corinthians,1
visits,1
graves,1
meaning,1
verses,1
bible,1
epitomize,1
whole,2
exhibits,1
values,1
developing,1
godlike,1
divine,1
trusted,1
leader,1
guiding,1
longsuffering,1
along,3
speaks,3
questions,1
deceased,1
faith,2
question,2
god,1
overarching,1
looks,1
mirror,1
erised,1
feels,1
terrible,1
sadness,1
seeing,1
desire,1
alive,1
confronting,1
central,3
manifests,1
different,1
ways,1
even,5
own,3
existential,1
perspective,1
grow,1
enough,2
accept,3
binary,1
mutable,1
state,1
exists,2
degrees,1
unlike,1
evades,1
separating,1
hiding,1
parts,3
nourished,1
distinguishes,1
loves,1
others,4
willing,1
save,1
villain,1
does,2
carries,2
protection,2
mother,2
sacrifice,1
wants,2
understand,1
vanquishes,1
spoken,1
thematising,1
soon,2
started,2
died,1
said,7
really,1
think,1
moment,1
became,7
prism,1
further,3
my,2
defined,2
attitude,1
possibility,2
vs,1
divisions,1
absolute,2
impressions,1
misleading,1
assumes,1
side,2
opposes,1
appears,2
malicious,1
agent,2
pattern,1
recurs,1
choices,3
rather,4
inherent,1
attributes,1
chances,1
redemption,1
key,2
reflected,2
selfdoubts,1
learning,1
connections,1
prominently,1
characterisation,2
complex,5
multifaceted,1
surface,1
focus,1
may,3
actually,1
morality,1
significance,1
seems,1
blindingly,1
obvious,1
choice,1
right,4
easy,2
views,1
how,2
tyranny,1
apathetic,1
taking,1
route,1
suddenly,2
finding,1
deep,1
trouble,2
academics,1
journalists,1
developed,4
interpretations,1
political,4
subtexts,1
normality,1
oppression,1
survival,1
overcoming,1
imposing,1
odds,1
prevalent,1
similarly,1
adolescence,1
going,1
harrowing,1
ordeals,1
thus,3
comprise,1
prolonged,2
argument,1
tolerance,2
plea,1
bigotry,1
pass,1
message,1
authority,1
assume,1
establishment,1
tells,1
you,1
truth,1
crowded,1
train,2
manchester,1
idea,2
fell,1
gives,1
account,1
experience,3
website,4
saying,3
had,13
almost,2
continuously,1
six,1
never,1
excited,1
simply,1
sat,1
thought,1
delayed,1
details,1
bubbled,1
brain,1
scrawny,1
blackhaired,1
bespectacled,1
know,1
me,2
completed,2
manuscript,2
sent,2
off,2
prospective,1
agents,1
tried,1
christopher,2
little,2
offered,1
represent,1
publishers,8
twelve,1
rejected,2
agreed,1
publish,1
despite,2
statement,1
any,3
mind,2
write,1
initially,3
aged,1
nine,2
eve,1
publishing,3
asked,1
adopt,1
genderneutral,1
pen,1
name,6
appeal,2
male,1
members,1
fearing,1
interested,1
reading,8
knew,1
woman,1
elected,1
joanne,1
kathleen,1
grandmother,1
no,9
middle,1
publisher,2
released,20
september,2
sorcerer,4
rights,6
us,8
record,3
amount,1
feared,1
associate,1
word,4
suggested,3
title,2
market,4
regrets,1
change,1
uk,11
july,11
same,4
longest,2
pages,4
herself,1
chapter,2
fact,1
something,1
retained,1
editions,8
pottermore,4
vendors,1
amazon,2
displayed,1
ebooks,1
links,1
controlled,1
pricing,1
unabridged,1
audiobook,1
fry,1
jim,1
dale,1
voicing,1
placing,1
seen,1
translations,2
diverse,1
korean,1
armenian,1
ukrainian,1
arabic,1
urdu,1
hindi,1
bengali,1
bulgarian,1
welsh,1
afrikaans,1
albanian,1
latvian,1
vietnamese,1
hawaiian,1
volume,2
greek,2
work,5
heliodorus,1
emesa,1
rd,1
century,1
ad,1
translators,1
hired,1
wellknown,1
viktor,1
golyshev,1
oversaw,1
russian,1
translation,4
turkish,1
undertaken,1
sevin,1
okyay,1
popular,5
literary,12
commentator,1
reasons,1
secrecy,1
given,5
could,2
start,1
leading,2
lag,1
months,2
available,2
led,4
impatient,1
nonenglish,1
speaking,1
countries,2
example,1
clamour,1
read,8
edition,4
englishlanguage,1
ever,3
top,7
bestseller,4
list,11
understandable,1
cover,4
art,5
chose,1
painted,1
classic,2
style,6
design,3
watercolour,1
pencil,1
drawing,1
illustrator,1
taylor,2
showing,2
express,3
font,1
cochin,1
bold,1
releases,1
successive,1
followed,3
somewhat,2
illustrating,1
covers,3
created,10
cliff,1
wright,1
jason,1
cockroft,1
commissioned,1
blackandwhite,1
photographic,1
without,1
depicting,1
shifted,1
partial,1
colourisation,1
picture,1
slytherin,1
bookcitation,1
needed,2
range,1
designers,1
mary,1
grandpré,1
audiences,1
mika,1
launis,1
finland,1
kazu,1
kibuishi,1
animeinfluenced,1
substantial,1
financial,1
license,1
holders,1
made,4
billionaire,1
rise,3
adaptations,1
produced,3
highly,3
successful,2
revenue,2
sales,3
excess,1
turn,2
spawned,1
eight,3
video,3
games,12
licensing,1
additional,2
products,1
brand,1
worth,1
demand,2
motivated,1
york,6
times,8
create,1
separate,3
straight,1
weeks,1
hardcover,1
april,2
barnes,3
noble,3
declared,3
preorder,1
preordered,2
site,2
fedex,1
trucks,1
purpose,2
deliver,1
together,1
amazoncom,1
presold,1
initial,4
printing,1
run,3
statistic,1
shattered,1
day,1
print,2
eager,1
latest,1
bookstores,1
began,5
holding,1
coincide,2
midnight,1
publication,6
commonly,3
mock,1
painting,1
entertainment,4
achieved,1
attracting,1
nearly,1
fastest,1
moving,2
units,1
gathered,1
identical,1
text,1
artwork,1
aimed,2
adults,3
received,2
attention,1
scottish,2
newspapers,2
scotsman,1
makings,1
glasgow,1
herald,1
stuff,1
joined,1
sunday,1
roald,2
dahl,3
comparisons,1
justified,1
guardian,2
richly,1
textured,1
liftoff,1
inventive,1
wit,1
receive,1
criticism,1
number,6
yale,1
harold,1
bloom,1
raised,1
criticisms,2
merits,1
governed,1
clichés,1
dead,1
metaphors,1
byatt,2
authored,1
oped,1
article,3
calling,1
universe,3
secondary,2
intelligently,1
patchworked,1
sorts,1
whose,2
imaginative,1
confined,1
tv,3
cartoons,1
exaggerated,1
exciting,1
threatening,1
mirrorworlds,1
soaps,1
celebrity,1
gossip,1
michael,1
rosen,2
novelist,1
poet,1
advocated,1
suited,1
unable,1
grasp,1
writer,1
anthony,1
holden,1
wrote,7
observer,1
judging,1
whitbread,3
awards,6
overall,2
negative,1
saga,1
essentially,1
patronising,1
conservative,1
dispiritingly,1
nostalgic,1
bygone,1
britain,1
pedestrian,1
ungrammatical,1
prose,2
ursula,1
le,1
guin,1
opinion,1
seemed,1
lively,1
kid,2
crossed,1
fare,1
stylistically,1
imaginatively,1
ethically,1
meanspirited,1
contrast,2
fay,1
weldon,1
admitting,1
poets,1
hoped,1
nevertheless,1
goes,2
say,1
poetry,2
readable,1
saleable,1
everyday,1
useful,1
wilson,1
praised,4
stating,1
writers,2
jk,2
dickensian,1
weep,1
openly,1
tears,1
splashing,1
laugh,1
invariably,1
jokes,1
we,2
lived,1
decade,2
liveliest,1
funniest,1
scariest,1
charles,2
saloncom,1
primarily,1
movie,3
took,2
issue,2
conceded,1
valid,1
teeny,1
impulses,1
drive,1
reassuring,1
pop,2
trash,1
troubling,1
complexities,1
lacking,1
merit,1
owes,1
merely,1
childhood,2
reassurances,1
offers,1
feat,1
superior,2
imagination,1
capable,2
punning,1
oneeyebrowcocked,1
humor,1
remarkable,1
however,4
tired,1
discovering,1
home,1
horrible,1
formulaic,1
sameer,1
rahim,1
daily,1
telegraph,1
disagreed,1
depresses,1
yearolds,1
oliver,1
twist,1
mr,1
biswas,1
washington,1
post,1
opined,1
fault,1
marketing,1
hysteria,1
marked,1
trains,1
expect,1
roar,1
coliseum,1
massmedia,1
possibly,1
provide,1
jenny,1
sawyer,1
science,1
monitor,1
neither,2
nor,2
undergoes,1
ethical,1
growth,2
guide,2
circumstances,1
wrong,1
anything,1
less,2
emily,1
griesinger,1
passage,1
+⁄,1
application,1
hope,1
encounter,1
shaped,1
slate,1
chris,2
suellentrop,1
likened,1
trustfund,1
largely,2
attributable,1
gifts,1
relatives,1
lavish,1
august,1
review,1
hitchens,1
unmooring,1
precedents,1
bound,1
wealth,1
snobbery,2
arguing,1
instead,1
youthful,1
democracy,1
diversity,1
diana,2
mutz,1
compares,1
politics,2
donald,1
trump,1
presidential,2
campaign,2
suggests,2
present,1
election,1
significant,1
role,1
americans,2
responded,1
ongoing,1
discussion,1
regarding,1
extent,1
tolkien,1
rings,2
portrayal,2
women,4
varied,2
nonetheless,2
conforming,1
stereotypical,1
patriarchal,1
depictions,1
gender,3
divides,1
ostensibly,1
absent,1
coeducational,1
hold,1
positions,1
obscures,1
typecasting,1
female,3
general,1
depiction,2
conventional,1
roles,3
elizabeth,1
heilman,1
trevor,1
donaldson,1
subordination,1
showcase,2
richer,1
powerful,1
females,1
instance,1
matriarchal,1
molly,1
engages,1
substantially,1
shown,2
leaders,1
active,1
independent,1
essential,2
protagonists,1
yet,1
minerva,1
mcgonagall,1
placed,2
supporting,1
status,2
feminist,1
model,2
debated,1
girls,1
frequently,1
emotional,1
appearance,1
agency,1
settings,2
social,6
hierarchy,1
debate,1
critics,4
purebloods,1
halfbloods,1
muggleborn,1
abilities,1
although,1
purity,2
paramount,1
subhuman,1
andrew,2
blake,3
rejects,1
basis,1
division,2
suman,1
gupta,3
agrees,1
philosophy,1
represents,1
nel,1
eccleshare,1
agree,1
advocates,1
racial,1
bloodbased,1
hierarchies,1
antagonists,1
following,6
superiority,1
cannot,2
means,2
coherently,1
reject,1
antimuggle,1
appealing,1
equality,1
models,2
charity,2
altruism,1
belonging,1
towards,2
lesser,1
race,1
specifically,1
slavery,1
houseelves,3
responses,2
brycchan,1
carey,1
abolitionist,1
sentiments,1
promotion,1
elfish,1
welfare,1
engagement,1
farah,1
mendlesohn,1
elves,2
denied,1
free,1
rely,1
benevolence,1
pharr,1
disharmonious,1
element,1
leaves,1
fate,1
hanging,1
remain,1
enslaved,1
cheerful,1
subject,2
legal,2
proceedings,1
stemming,1
various,4
conflicts,2
copyright,2
trademark,1
infringements,1
distributor,1
take,2
measures,1
protect,1
included,3
banning,1
sale,2
imitations,1
targeting,1
owners,2
websites,1
domain,1
suing,1
nancy,2
stouffer,1
accusations,1
plagiarised,1
fundamentalists,1
claimed,1
promote,1
religions,1
wicca,1
therefore,1
unsuitable,1
criticised,1
promoting,1
agendas,1
landed,1
library,4
associations,1
banned,1
antifamily,1
discussed,1
contained,1
actual,1
spells,2
curses,1
referenced,1
occultsatanism,1
violence,1
nefarious,1
attain,1
goals,1
viewpoints,1
aroused,1
controversies,1
won,2
judged,2
none,1
sandra,1
beckett,1
reason,1
intellectual,1
winner,3
award,8
shortlist,1
judge,1
threatened,1
resign,1
finished,1
close,1
behind,1
prize,1
seamus,1
heaney,1
anglosaxon,1
epic,1
beowulf,1
shortly,1
previous,1
topped,1
fiction,6
entries,1
newspaper,1
section,2
covering,1
nonfiction,1
counting,1
hardback,1
supported,1
booksellers,1
split,3
dominated,2
sections,1
individual,2
removed,1
condemnation,1
praise,1
comments,1
presented,1
benefits,1
disadvantages,1
principle,1
billboard,1
should,2
moptops,1
beatles,1
held,2
five,4
places,1
nielsen,1
gameshow,1
millionaire,1
ratings,1
transformed,1
generally,1
opposed,1
influence,1
next,3
saw,1
increasing,1
interest,1
grim,1
realist,1
outflow,1
reversed,1
trend,2
scale,1
precedent,1
occupied,1
field,1
rose,2
dominant,1
older,1
wynne,1
jones,1
chrestomanci,1
diane,2
duane,1
reprinted,1
reestablished,1
careers,1
decades,1
imitators,1
subversive,1
grew,1
simple,2
groups,1
long,2
sway,1
heir,1
concurrent,1
philip,1
pullman,2
materials,1
broader,2
shift,1
tastes,1
rejection,1
favour,1
plot,2
bbc,3
big,2
survey,3
favourite,1
ranked,2
numbers,1
respectively,2
classics,1
phenomenon,2
spread,1
origins,1
entering,1
oxford,1
dictionary,1
reallife,1
sport,1
featured,5
olympics,2
scientific,1
organisms,1
dinosaur,1
dracorex,1
hogwartsia,1
spider,1
eriovixia,1
gryffindori,1
wasp,1
ampulex,1
dementor,1
crab,1
harryplax,1
librarian,1
knapp,1
pointed,1
potential,1
improve,1
literacy,2
motivating,2
otherwise,1
sevenbook,1
count,1
agreeing,1
effects,1
penrod,1
blending,1
qualities,1
highbrow,1
expressed,1
concern,1
distracting,1
effect,1
prolific,1
merchandising,1
accompanies,1
launches,1
assumption,1
increased,1
folk,1
research,3
national,2
endowment,1
nea,2
increase,1
coinciding,1
downward,1
arrested,1
during,1
likely,1
go,1
outside,1
chairman,1
dana,1
gioia,1
got,1
millions,1
kids,1
reasonably,1
every,1
reverse,1
decline,1
fan,3
march,2
searched,1
internet,1
jennifer,1
conn,1
coach,1
madam,1
hooch,1
teaching,2
methods,1
avoid,1
emulate,1
clinical,1
joyce,1
fields,1
illustrate,1
topics,1
firstyear,1
sociology,1
sociological,1
concepts,1
culture,2
socialisation,1
stratification,1
inequality,1
institutions,1
theory,1
onwards,1
news,1
reports,2
appeared,1
driving,1
now,1
abandoned,1
statements,1
urging,1
refrain,1
purchasing,1
flurry,1
failed,1
evidence,1
influenced,2
buying,1
country,1
reaching,1
animal,1
shelters,1
sanctuaries,1
recognised,1
host,1
platinum,2
whitaker,1
gold,1
nestlé,1
smarties,1
prizes,1
council,1
inaugural,1
whsmith,1
nominated,1
hugo,1
honours,1
commendation,1
carnegie,1
medal,1
short,4
listing,1
listings,1
editors,1
lists,1
association,2
weekly,1
sociologist,1
icon,1
likes,1
bond,1
holmes,1
loved,1
study,1
aloud,1
elementary,1
san,1
diego,1
county,1
california,2
online,1
poll,1
education,1
listed,2
teachers,1
magazine,1
runnerup,1
noting,1
inspiration,1
fandom,1
journal,1
th,2
ceremony,1
foot,1
tall,1
rendition,1
segment,1
designed,2
icons,1
influential,1
reported,2
creative,1
observing,1
filmmaking,1
process,1
serving,1
producer,2
twopart,1
alongside,1
david,3
heyman,1
barron,1
demanded,1
principal,1
cast,1
kept,1
strictly,1
allowing,1
inclusion,1
irish,1
eastern,1
european,1
actors,1
specified,1
columbus,3
selected,3
director,5
production,3
directed,1
declined,1
acting,1
mexican,1
alfonso,1
cuarón,1
job,1
shooting,1
mike,1
newell,2
chosen,3
television,2
yates,2
suit,1
helm,1
january,2
cinematic,1
prequel,2
consisting,1
will,1
place,1
crimes,1
grindelwald,1
screenplay,1
instalments,1
marking,1
foray,1
screenwriting,1
noninteractive,1
board,1
cluedo,1
scene,1
lego,4
thirteen,1
corresponding,1
spinoffs,1
filmbookbased,1
electronic,1
ea,2
game,3
entry,1
went,1
playstation,3
objectives,1
usually,1
occur,1
worked,1
closely,1
debuting,1
consoles,1
traveller,1
interactive,2
wonderbook,1
augmented,1
conjunction,1
dimensions,1
playable,1
potterthemed,3
portkey,1
releasing,1
jam,1
city,1
ii,1
serves,1
sequel,1
jack,1
thorne,2
john,1
tiffany,1
palace,1
theatre,1
west,1
previews,1
official,1
premiere,2
tickets,1
june–september,1
performances,1
forthcoming,1
productions,2
planned,1
broadway,1
melbourne,1
script,1
revised,1
action,1
development,1
hbo,1
max,1
complicated,1
issues,1
sevenyear,1
deal,1
domestic,1
distribution,1
broadcast,1
cable,1
streaming,1
brothers,1
expansion,2
islands,2
park,4
orlando,1
resort,1
florida,2
recreation,3
hogsmeade,3
rides,1
flagship,2
attraction,3
forbidden,2
journey,3
area,1
studios,5
diagon,2
alley,2
roller,2
coaster,2
ride,2
completely,1
functioning,1
fullscale,1
replica,1
connecting,1
cross,1
station,2
hollywood,1
los,1
angeles,1
japan,2
osaka,2
venue,1
village,1
flight,1
behindthescenes,1
walking,1
authentic,1
sets,2
costumes,1
props,1
located,1
leavesden,1
sound,1
stages,1
britishmade,1
£,1
investment,1
expanded,1
charities,1
purported,1
ages,1
reads,1
fun,1
proceeds,1
benefited,1
comic,1
relief,1
composed,1
handwritten,1
beedle,1
bard,1
collection,1
fairy,1
auctioned,1
raise,1
money,1
level,1
fund,1
mentally,1
disabled,1
internationally,1
december,1
fundraiser,1
organised,1
bookseller,1
waterstones,1
extra,1
incomplete,1
unreliable,1
pesky,1
poltergeists,1
heroism,1
hardship,1
dangerous,1
hobbies,1
launched,1
allows,1
users,1
wand,1
minigames,1
allow,1
user,1
access,1
content,2
previously,1
redesigned,1
wizardingworldcom,1
focuses,1
already,1
explorationverification,1
